tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 1 and 5 years,1.0,I’m 10% more productive when working remotely,1997,Administrative and Support,Somewhat likely,Very likely,Strongly agree,10%,Yes,952,8.0,9.0,Couple with no dependent children,2.0,3.0,10%,10%,Male,Clerical and administrative workers - Office Managers and Program Administrators,Very likely,Between 20 and 199,2.0,Strongly agree,4.0,Somewhat agree,Strongly agree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,3.0,I’m 50% more productive when working remotely (or more),1989,Education and Training,Somewhat unlikely,Somewhat likely,Somewhat agree,20%,No,953,11.0,11.0,Single person,2.0,3.0,20%,20%,Male,Professionals - Education Professionals,Neither unlikely or likely,Between 20 and 199,4.0,Somewhat agree,1.0,Somewhat agree,Strongly agree,Somewhat agree,2021,1.0,Metro
More than 5 years,5.0,My productivity is about same when I work remotely,1971,Education and Training,Very unlikely,Very unlikely,Strongly agree,100% - All of my time,No,954,10.0,6.0,Couple with dependent children,0.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Female,Labourers - Factory Process Workers,Very unlikely,More than 200,1.0,Neither agree nor disagree,0.0,Strongly agree,Strongly agree,Somewhat agree,2021,1.0,Metro
Between 1 and 5 years,4.0,I’m 30% more productive when working remotely,1999,Manufacturing,Very unlikely,Very unlikely,Strongly disagree,20%,Yes,955,6.0,2.0,Couple with no dependent children,2.0,12.0,40%,70%,Male,Sales workers - Sales Support Workers,Very unlikely,I am a sole trader/owner-operator,3.0,Strongly disagree,12.0,Strongly disagree,Strongly disagree,Strongly disagree,2021,3.0,Regional
Between 1 and 5 years,4.0,I’m 10% more productive when working remotely,1997,Information Media and Telecommunications,Somewhat likely,Very likely,Strongly agree,50% - About half of my time,Yes,956,9.0,9.0,Couple with dependent children,2.0,5.0,100% - I spent all of my time remote working,20%,Male,Professionals - ICT Professionals,Very likely,More than 200,3.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2021,1.0,Metro
More than 5 years,6.0,My productivity is about same when I work remotely,1969,Manufacturing,Somewhat likely,Somewhat likely,Somewhat agree,60%,No,957,9.5,10.0,Couple with dependent children,2.0,5.0,80%,60%,Male,Professionals - ICT Professionals,Neither unlikely or likely,More than 200,2.0,Strongly agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,1.5,Metro
Between 1 and 5 years,4.0,I’m 10% less productive when working remotely,2000,Education and Training,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,I would prefer not to work remotely,No,958,8.0,7.0,Group household,1.5,4.0,Rarely or never,I would not have preferred to work remotely,Male,Professionals - Education Professionals,Neither unlikely or likely,Between 20 and 199,3.0,Somewhat disagree,2.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,3.5,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1991,Education and Training,Very unlikely,Very unlikely,Neither agree nor disagree,20%,No,959,8.0,8.0,Couple with dependent children,5.0,1.5,Rarely or never,20%,Female,Professionals - Education Professionals,Very unlikely,Between 20 and 199,4.0,Strongly disagree,0.5,Somewhat disagree,Neither agree nor disagree,Somewhat agree,2021,1.5,Regional
More than 5 years,5.0,I’m 50% more productive when working remotely (or more),1958,Financial and Insurance,Neither unlikely or likely,Very likely,Strongly agree,80%,No,960,8.0,9.0,Couple with no dependent children,2.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals - ICT Professionals,Very likely,More than 200,2.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2021,2.0,Metro
Between 6 and 12 months,5.0,I’m 40% more productive when working remotely,1966,Information Media and Telecommunications,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,70%,Yes,961,2.0,6.0,Couple with dependent children,4.0,7.0,70%,70%,Male,Managers - Specialist Managers,Somewhat likely,Between 20 and 199,3.0,Neither agree nor disagree,5.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2021,4.0,Metro
More than 5 years,5.0,I’m 50% more productive when working remotely (or more),1977,Public Administration and Safety,Somewhat unlikely,Somewhat unlikely,Somewhat disagree,50% - About half of my time,No,962,7.0,7.0,Single person,4.0,4.0,50% - I spent about half of my time remote working,50% - About half of my time,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Somewhat unlikely,Between 1 and 4,4.0,Somewhat disagree,0.0,Somewhat disagree,Somewhat disagree,Somewhat disagree,2021,2.0,Regional
Between 6 and 12 months,2.0,I’m 50% more productive when working remotely (or more),2000,Health Care and Social Assistance,Somewhat unlikely,Somewhat unlikely,Somewhat agree,20%,Yes,963,9.0,9.0,Multiple family household,3.0,3.0,30%,40%,Female,Community and personal service workers - Health and Welfare Support Workers,Somewhat likely,More than 200,2.0,Somewhat agree,2.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,2.0,Regional
Between 1 and 5 years,3.0,I’m 50% more productive when working remotely (or more),1994,Manufacturing,Somewhat likely,Very likely,Somewhat agree,Less than 10% of my time,No,964,8.0,8.0,Couple with no dependent children,4.0,3.0,30%,I would not have preferred to work remotely,Female,Professionals - ICT Professionals,Somewhat likely,Between 5 and 19,4.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat disagree,2021,1.0,Metro
More than 5 years,8.0,I’m 40% more productive when working remotely,1963,Wholesale Trade,Somewhat likely,Neither unlikely or likely,Neither agree nor disagree,40%,No,965,5.0,8.0,Couple with no dependent children,0.0,8.0,40%,40%,Male,Managers - Specialist Managers,Neither unlikely or likely,More than 200,0.0,Somewhat agree,0.0,Somewhat agree,Neither agree nor disagree,Strongly agree,2021,3.0,Regional
Between 1 and 5 years,5.0,I’m 40% more productive when working remotely,1972,Accommodation and Food,Somewhat likely,Somewhat likely,Somewhat agree,80%,Yes,966,9.0,9.0,Couple with dependent children,1.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Managers - Chief Executives, General Managers and Legislators",Somewhat likely,Between 5 and 19,1.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,1.0,Regional
Between 1 and 5 years,7.5,I’m 50% more productive when working remotely (or more),1986,Retail Trade,Somewhat likely,Neither unlikely or likely,Strongly agree,70%,No,967,9.0,8.0,Couple with dependent children,0.0,5.0,80%,50% - About half of my time,Male,"Professionals - Business, Human Resource and Marketing Professionals",Very likely,Between 20 and 199,0.0,Somewhat agree,0.5,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,6.0,I’m 50% more productive when working remotely (or more),1991,Retail Trade,Somewhat likely,Neither unlikely or likely,Somewhat agree,90%,No,968,10.0,10.0,Couple with no dependent children,1.0,4.0,90%,100% - All of my time,Male,Professionals - Education Professionals,Neither unlikely or likely,More than 200,1.0,Somewhat agree,0.0,Strongly agree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
More than 5 years,3.5,I’m 10% more productive when working remotely,1974,Public Administration and Safety,Somewhat likely,Very unlikely,Neither agree nor disagree,50% - About half of my time,Yes,969,8.5,8.5,Couple with dependent children,3.0,4.0,Less than 10% of my time,50% - About half of my time,Male,Community and personal service workers - Protective Service Workers,Somewhat unlikely,More than 200,3.0,Somewhat agree,1.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,2.0,Regional
Between 1 and 5 years,3.0,I’m 20% more productive when working remotely,1967,Public Administration and Safety,Very unlikely,Very unlikely,Strongly disagree,20%,Yes,970,9.0,10.0,Couple with no dependent children,2.0,2.0,Less than 10% of my time,Less than 10% of my time,Female,"Managers - Chief Executives, General Managers and Legislators",Very unlikely,Between 20 and 199,3.0,Strongly disagree,1.0,Strongly disagree,Somewhat agree,Somewhat agree,2021,4.0,Regional
More than 5 years,4.0,I’m 20% more productive when working remotely,1963,Other Services,Somewhat likely,Somewhat likely,Neither agree nor disagree,50% - About half of my time,No,971,8.0,8.0,Couple with dependent children,4.0,5.0,50% - I spent about half of my time remote working,I would not have preferred to work remotely,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Somewhat likely,Between 5 and 19,5.0,Neither agree nor disagree,1.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,1.0,Regional
More than 5 years,6.0,I’m 20% more productive when working remotely,1984,Accommodation and Food,Very unlikely,Somewhat likely,Somewhat agree,Less than 10% of my time,Yes,972,15.0,10.0,Couple with dependent children,2.0,5.0,50% - I spent about half of my time remote working,30%,Male,Professionals - ICT Professionals,Very unlikely,More than 200,5.0,Strongly agree,3.0,Somewhat agree,Strongly agree,Strongly agree,2021,2.0,Regional
Between 1 and 5 years,2.0,I’m 30% more productive when working remotely,1987,"Rental, Hiring and Real Estate",Somewhat likely,Somewhat likely,Neither agree nor disagree,30%,Yes,973,8.0,8.0,Couple with dependent children,3.0,3.0,10%,20%,Female,"Managers - Hospitality, Retail and Service Managers",Somewhat likely,More than 200,3.0,Neither agree nor disagree,3.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
More than 5 years,4.0,I’m 50% less productive when working remotely (or worse),1985,Information Media and Telecommunications,Very likely,Very likely,Strongly agree,80%,Yes,974,10.0,10.0,Couple with dependent children,1.0,4.0,20%,30%,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,More than 200,1.0,Strongly agree,3.0,Strongly agree,Strongly agree,Strongly agree,2021,3.0,Metro
More than 5 years,3.0,I’m 40% more productive when working remotely,1965,Financial and Insurance,Somewhat likely,Somewhat likely,Strongly agree,80%,No,975,9.0,9.5,Couple with no dependent children,2.0,4.5,100% - I spent all of my time remote working,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat likely,More than 200,3.0,Somewhat agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2021,0.5,Metro
Between 1 and 5 years,4.0,I’m 20% more productive when working remotely,1993,Education and Training,Somewhat likely,Neither unlikely or likely,Neither agree nor disagree,50% - About half of my time,No,976,9.0,9.0,Couple with no dependent children,2.0,3.0,Rarely or never,50% - About half of my time,Female,Professionals - Education Professionals,Neither unlikely or likely,More than 200,3.0,Strongly agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
More than 5 years,1.0,I’m 40% more productive when working remotely,1990,Administrative and Support,Very likely,Somewhat likely,Strongly agree,40%,Yes,977,10.0,10.0,Couple with dependent children,3.0,1.0,60%,70%,Male,Professionals - Arts and Media Professionals,Very likely,Between 20 and 199,2.0,Strongly agree,2.0,Strongly agree,Somewhat agree,Somewhat agree,2021,1.0,Regional
More than 5 years,5.0,My productivity is about same when I work remotely,1960,Health Care and Social Assistance,Neither unlikely or likely,Somewhat unlikely,Strongly agree,10%,No,978,10.0,8.0,Couple with no dependent children,4.0,2.0,10%,10%,Female,Clerical and administrative workers - Office Managers and Program Administrators,Somewhat unlikely,Between 1 and 4,4.0,Strongly agree,0.5,Strongly disagree,Strongly disagree,Strongly agree,2021,1.5,Metro
More than 5 years,5.0,I’m 30% less productive when working remotely,1974,Education and Training,Somewhat likely,Very unlikely,Strongly agree,I would prefer not to work remotely,No,979,10.0,10.0,Couple with no dependent children,2.0,4.0,Less than 10% of my time,20%,Female,Professionals - Education Professionals,Neither unlikely or likely,More than 200,3.0,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,5.0,My productivity is about same when I work remotely,1969,Other Services,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,100% - All of my time,No,980,9.0,9.0,Single person,2.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals - Arts and Media Professionals,Neither unlikely or likely,I am a sole trader/owner-operator,2.0,Neither agree nor disagree,0.0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,2021,0.0,Metro
Between 1 and 5 years,4.0,I’m 50% more productive when working remotely (or more),1976,Financial and Insurance,Somewhat likely,Neither unlikely or likely,Neither agree nor disagree,50% - About half of my time,No,981,8.0,9.0,Couple with no dependent children,3.0,2.0,60%,90%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat unlikely,Between 20 and 199,3.0,Strongly agree,0.0,Somewhat agree,Strongly agree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,3.0,I’m 30% more productive when working remotely,1989,Administrative and Support,Very likely,Neither unlikely or likely,Neither agree nor disagree,70%,No,982,9.0,9.0,Group household,2.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Somewhat likely,Between 20 and 199,2.0,Strongly disagree,0.0,Strongly agree,Somewhat disagree,Somewhat agree,2021,1.0,Metro
Between 1 and 5 years,5.0,My productivity is about same when I work remotely,1988,Financial and Insurance,Very likely,Very likely,Strongly agree,50% - About half of my time,Yes,983,9.5,10.0,Couple with no dependent children,0.5,6.0,70%,50% - About half of my time,Male,Managers - Specialist Managers,Very likely,More than 200,1.0,Somewhat disagree,0.5,Somewhat agree,Strongly agree,Somewhat disagree,2021,1.0,Metro
Between 1 and 5 years,3.0,I’m 20% more productive when working remotely,1995,"Professional, Scientific and Technical",Neither unlikely or likely,Somewhat unlikely,Somewhat agree,30%,No,984,8.0,9.0,Group household,4.0,3.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,"Professionals - Design, Engineering, Science and Transport Professionals",Neither unlikely or likely,Between 20 and 199,4.0,Somewhat agree,0.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,2021,1.0,Metro
Between 1 and 5 years,2.0,I’m 10% less productive when working remotely,1961,Accommodation and Food,Somewhat likely,Neither unlikely or likely,Neither agree nor disagree,I would prefer not to work remotely,No,985,9.0,12.0,Couple with no dependent children,2.0,2.0,30%,30%,Female,"Managers - Hospitality, Retail and Service Managers",Somewhat unlikely,More than 200,2.0,Somewhat disagree,0.0,Somewhat agree,Somewhat agree,Strongly disagree,2021,3.0,Metro
Between 6 and 12 months,6.0,I’m 20% more productive when working remotely,1957,Education and Training,Somewhat likely,Somewhat likely,Neither agree nor disagree,80%,No,986,7.0,6.0,Couple with no dependent children,4.0,4.0,100% - I spent all of my time remote working,90%,Female,Professionals - Education Professionals,Neither unlikely or likely,More than 200,4.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Strongly agree,2021,2.0,Metro
More than 5 years,6.0,I’m 50% more productive when working remotely (or more),1988,Arts and Recreation,Somewhat likely,Somewhat likely,Somewhat agree,90%,No,987,7.5,7.5,Couple with no dependent children,2.0,5.5,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals - Arts and Media Professionals,Somewhat likely,Between 20 and 199,2.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
More than 5 years,5.0,I’m 30% less productive when working remotely,1988,Information Media and Telecommunications,Somewhat unlikely,Somewhat likely,Neither agree nor disagree,20%,No,988,8.0,9.0,Group household,2.0,4.0,10%,30%,Other,"Professionals - Legal, Social and Welfare Professionals",Somewhat unlikely,Between 20 and 199,2.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Strongly agree,Somewhat disagree,2021,3.0,Metro
Between 1 and 5 years,4.5,I’m 30% more productive when working remotely,1996,"Rental, Hiring and Real Estate",Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,20%,No,989,7.5,7.5,Multiple family household,3.0,4.0,40%,20%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat unlikely,Between 20 and 199,2.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,0.5,Regional
Between 1 and 5 years,6.0,I’m 50% more productive when working remotely (or more),1990,Education and Training,Somewhat likely,Somewhat likely,Strongly agree,80%,No,990,7.0,8.0,Group household,2.0,3.0,80%,90%,Female,Professionals - Arts and Media Professionals,Somewhat likely,More than 200,2.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2021,6.0,Regional
Between 1 and 5 years,6.5,I’m 20% more productive when working remotely,1973,"Professional, Scientific and Technical",Neither unlikely or likely,Neither unlikely or likely,Strongly agree,50% - About half of my time,No,991,7.0,7.0,Couple with no dependent children,2.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Managers - Chief Executives, General Managers and Legislators",Somewhat unlikely,Between 20 and 199,2.5,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2021,2.0,Metro
More than 5 years,7.0,My productivity is about same when I work remotely,1957,Education and Training,Very unlikely,Very unlikely,Strongly agree,I would prefer not to work remotely,No,992,2.0,2.0,Couple with no dependent children,4.0,7.0,100% - I spent all of my time remote working,I would not have preferred to work remotely,Female,Professionals - Education Professionals,Very unlikely,More than 200,5.0,Somewhat disagree,2.0,Somewhat agree,Strongly agree,Neither agree nor disagree,2021,3.0,Metro
Between 1 and 5 years,6.5,My productivity is about same when I work remotely,1993,Information Media and Telecommunications,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,50% - About half of my time,No,993,8.0,8.0,Multiple family household,1.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Technicians and trades workers - Engineering, ICT and Science Technicians",Neither unlikely or likely,Between 5 and 19,1.0,Neither agree nor disagree,0.5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,3.0,Metro
More than 5 years,6.5,I’m 10% less productive when working remotely,1973,Other Services,Somewhat likely,Neither unlikely or likely,Somewhat agree,40%,No,994,8.0,9.0,Single person,3.0,5.0,30%,I would not have preferred to work remotely,Female,"Managers - Hospitality, Retail and Service Managers",Neither unlikely or likely,Between 5 and 19,1.0,Somewhat agree,0.5,Somewhat agree,Strongly disagree,Somewhat disagree,2021,1.0,Metro
More than 5 years,4.5,I’m 50% more productive when working remotely (or more),1978,Education and Training,Very unlikely,Very unlikely,Somewhat agree,40%,No,995,8.5,9.0,Single person,2.0,4.5,20%,40%,Female,Professionals - Education Professionals,Very unlikely,Between 20 and 199,2.0,Neither agree nor disagree,1.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,2021,1.5,Metro
Between 1 and 5 years,9.0,I’m 20% more productive when working remotely,1967,Administrative and Support,Very unlikely,Somewhat likely,Somewhat agree,I would prefer not to work remotely,Yes,996,9.0,5.0,Couple with dependent children,0.0,4.0,Less than 10% of my time,I would not have preferred to work remotely,Female,"Professionals - Business, Human Resource and Marketing Professionals",Very unlikely,Between 1 and 4,2.0,Strongly agree,0.0,Strongly disagree,Strongly disagree,Strongly disagree,2021,3.0,Metro
Between 6 and 12 months,,I’m 10% more productive when working remotely,1997,Financial and Insurance,Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,40%,Yes,997,3.0,3.0,Single person,19.0,,20%,30%,Female,Clerical and administrative workers - General Clerical Workers,Somewhat likely,Between 20 and 199,17.0,Neither agree nor disagree,4.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,5.5,My productivity is about same when I work remotely,1973,Public Administration and Safety,Very unlikely,Very unlikely,Somewhat agree,50% - About half of my time,Yes,998,8.0,8.0,Couple with dependent children,2.0,3.0,Less than 10% of my time,50% - About half of my time,Female,Managers - Specialist Managers,Very unlikely,More than 200,2.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Strongly agree,2021,3.0,Regional
More than 5 years,5.0,My productivity is about same when I work remotely,1999,Financial and Insurance,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,10%,No,999,6.0,7.0,Couple with no dependent children,3.0,7.0,40%,40%,Male,Sales workers - Sales Support Workers,Neither unlikely or likely,Between 5 and 19,3.0,Neither agree nor disagree,3.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,5.5,I’m 30% more productive when working remotely,1965,Other Services,Neither unlikely or likely,Neither unlikely or likely,Somewhat disagree,20%,Yes,1000,9.0,9.0,Couple with dependent children,1.0,3.5,20%,Less than 10% of my time,Female,Professionals - Education Professionals,Neither unlikely or likely,More than 200,1.0,Neither agree nor disagree,0.5,Neither agree nor disagree,Somewhat agree,Somewhat disagree,2021,2.5,Metro
Between 1 and 5 years,5.0,My productivity is about same when I work remotely,1983,Arts and Recreation,Somewhat unlikely,Somewhat unlikely,Somewhat agree,40%,Yes,1001,8.0,8.0,Single person,1.0,4.0,40%,40%,Female,"Managers - Chief Executives, General Managers and Legislators",Somewhat unlikely,More than 200,2.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,4.0,I’m 30% more productive when working remotely,1988,"Professional, Scientific and Technical",Somewhat likely,Very likely,Somewhat agree,50% - About half of my time,Yes,1002,9.0,10.0,Group household,3.0,3.0,90%,80%,Male,Professionals - ICT Professionals,Somewhat likely,More than 200,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2021,4.0,Metro
Between 1 and 5 years,1.5,My productivity is about same when I work remotely,1973,Financial and Insurance,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,40%,Yes,1003,10.5,11.0,Couple with dependent children,2.5,1.5,60%,60%,Female,"Professionals - Legal, Social and Welfare Professionals",Neither unlikely or likely,More than 200,2.5,Somewhat agree,1.5,Somewhat agree,Strongly agree,Somewhat agree,2021,2.0,Metro
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1968,Health Care and Social Assistance,Very likely,Very likely,Strongly agree,70%,Yes,1004,9.0,9.0,One parent family with dependent children,4.0,1.0,100% - I spent all of my time remote working,100% - All of my time,Female,Managers - Specialist Managers,Very likely,More than 200,5.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2021,4.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1971,Other Services,Very unlikely,Very unlikely,Strongly disagree,90%,Yes,1005,8.0,10.0,Single person,4.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Female,Managers - Specialist Managers,Very unlikely,More than 200,4.0,Somewhat disagree,1.0,Somewhat disagree,Somewhat disagree,Somewhat disagree,2021,3.0,Metro
More than 5 years,5.0,My productivity is about same when I work remotely,1968,Other Services,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,100% - All of my time,No,1006,7.0,7.0,Multiple family household,3.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - General Clerical Workers,Neither unlikely or likely,More than 200,3.0,Strongly agree,0.5,Strongly agree,Strongly disagree,Strongly agree,2021,1.5,Metro
Between 1 and 5 years,6.0,I’m 50% more productive when working remotely (or more),1991,Other Services,Neither unlikely or likely,Somewhat likely,Neither agree nor disagree,10%,Yes,1007,8.0,6.0,Single person,4.0,4.0,30%,Less than 10% of my time,Female,"Professionals - Legal, Social and Welfare Professionals",Neither unlikely or likely,Between 5 and 19,4.0,Somewhat disagree,2.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1957,Accommodation and Food,Somewhat likely,Neither unlikely or likely,Strongly agree,Less than 10% of my time,No,1008,9.0,9.0,Couple with no dependent children,1.0,6.0,20%,30%,Female,"Managers - Hospitality, Retail and Service Managers",Somewhat unlikely,Between 1 and 4,3.0,Strongly agree,1.0,Somewhat agree,Somewhat disagree,Neither agree nor disagree,2021,1.0,Regional
Between 6 and 12 months,5.5,I’m 50% more productive when working remotely (or more),1977,Financial and Insurance,Very likely,Very likely,Strongly agree,80%,No,1009,7.5,7.5,Couple with dependent children,3.0,11.5,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Clerical and Office Support Workers,Somewhat likely,More than 200,3.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Strongly agree,2021,2.0,Metro
More than 5 years,3.0,I’m 20% more productive when working remotely,1978,Financial and Insurance,Very likely,Very likely,Strongly agree,80%,Yes,1010,10.0,11.0,Single person,3.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Very likely,More than 200,2.0,Neither agree nor disagree,0.0,Strongly agree,Strongly agree,Strongly agree,2021,1.0,Metro
More than 5 years,7.5,I’m 50% more productive when working remotely (or more),1990,Public Administration and Safety,Very unlikely,Very unlikely,Somewhat agree,100% - All of my time,No,1011,8.0,8.0,Group household,0.0,6.0,80%,100% - All of my time,Female,Clerical and administrative workers - Clerical and Office Support Workers,Very unlikely,More than 200,0.0,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,3.0,Metro
More than 5 years,6.0,I’m 40% more productive when working remotely,1961,Administrative and Support,Somewhat likely,Very unlikely,Strongly agree,20%,No,1012,7.0,8.0,Couple with no dependent children,3.0,4.0,50% - I spent about half of my time remote working,20%,Female,Managers - Specialist Managers,Neither unlikely or likely,Between 1 and 4,2.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,5.0,I’m 20% more productive when working remotely,1993,Information Media and Telecommunications,Very likely,Very likely,Strongly agree,100% - All of my time,No,1013,8.0,8.0,Group household,3.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Professionals - Business, Human Resource and Marketing Professionals",Very likely,Between 20 and 199,3.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Strongly agree,2021,3.0,Metro
Between 1 and 5 years,3.0,I’m 50% less productive when working remotely (or worse),2002,Health Care and Social Assistance,Very unlikely,Very unlikely,Somewhat agree,50% - About half of my time,No,1014,12.0,8.0,Multiple family household,4.5,3.0,10%,Less than 10% of my time,Female,Clerical and administrative workers - Inquiry Clerks and Receptionists,Very unlikely,Between 20 and 199,10.0,Neither agree nor disagree,0.0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2021,0.5,Regional
Between 1 and 5 years,4.0,I’m 20% more productive when working remotely,1964,Financial and Insurance,Somewhat likely,Somewhat likely,Strongly agree,50% - About half of my time,No,1015,9.0,10.0,Single person,2.0,3.0,80%,60%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Neither unlikely or likely,More than 200,2.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
More than 5 years,2.0,I’m 20% less productive when working remotely,1966,"Electricity, Gas, Water and Waste",Neither unlikely or likely,Somewhat unlikely,Somewhat disagree,60%,No,1016,7.0,8.0,Couple with dependent children,0.0,12.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,Sales workers - Sales Representatives and Agents,Neither unlikely or likely,More than 200,0.0,Neither agree nor disagree,0.0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,2021,0.5,Metro
More than 5 years,5.0,I’m 30% more productive when working remotely,1988,Manufacturing,Somewhat likely,Very likely,Strongly agree,50% - About half of my time,Yes,1017,6.0,8.0,Couple with no dependent children,15.0,1.0,70%,60%,Male,"Professionals - Design, Engineering, Science and Transport Professionals",Very likely,More than 200,3.0,Neither agree nor disagree,1.0,Somewhat agree,Strongly agree,Neither agree nor disagree,2021,1.0,Metro
Between 6 and 12 months,3.0,I’m 10% more productive when working remotely,1989,"Professional, Scientific and Technical",Somewhat unlikely,Very unlikely,Strongly agree,20%,Yes,1018,11.5,12.0,Single person,0.5,1.5,60%,60%,Male,"Professionals - Legal, Social and Welfare Professionals",Somewhat unlikely,More than 200,0.5,Somewhat agree,0.5,Somewhat agree,Strongly agree,Neither agree nor disagree,2021,2.5,Metro
